circuit_id,logical_plan_id,node_index,node_id,operand_a_shape,operand_b_shape,output_shape,B,M,N,K,operand_a_scale,operand_b_scale,operand_a_max_abs_component,operand_b_max_abs_component,operand_a_encoded_element_count,operand_b_encoded_element_count,operand_a_q_real_min,operand_a_q_real_max,operand_a_q_imag_min,operand_a_q_imag_max,operand_b_q_real_min,operand_b_q_real_max,operand_b_q_imag_min,operand_b_q_imag_max,operand_a_zero_count,operand_b_zero_count,operand_a_clipping_count,operand_b_clipping_count,operand_a_saturation_at_boundary_count,operand_b_saturation_at_boundary_count,int32_theoretical_accumulator_bound,int32_accumulator_safe,local_output_max_abs_error_vs_same_node_float32,local_output_relative_l2_vs_same_node_float32,local_output_norm_drift_vs_same_node_float32,cumulative_output_max_abs_error_vs_same_node_float32,cumulative_output_relative_l2_vs_same_node_float32,cumulative_output_norm_drift_vs_same_node_float32,theoretical_local_error_bound,observed_local_error,rounding_bound_applicable,logical_encoded_bytes,corresponding_float32_complex_bytes,nominal_compression_ratio,scale_metadata_bytes,quantized_complex_values,scalar_components_quantized,scale_computation_count,quantization_event_count,requantization_event_count,dequantized_output_elements,four_real_products_per_complex_product,integer_multiply_accumulate_count
stress4_l2,0893aab5797f8fe01bfda4345fc0b71efbbcb10941be3b158565149d8755a95f,7,contract_15,"[2,2,2,2]","[2,2]","[2,2,2,2]",1,8,2,2,0.007874015748031496,0.007274641765384223,1.0,0.9238795042037964,16,4,0,127,0,0,0,127,-53,53,28,4,0,0,4,2,64516,true,0.0028725862503051758,0.0028725864831358194,0.0022057294845581055,0.0028725862503051758,0.0028725864831358194,0.0022057294845581055,0.05207185618543261,0.00574517484724979,true,56,160,2.857142857142857,16,20,40,2,2,0,16,4,128
stress4_l2,0893aab5797f8fe01bfda4345fc0b71efbbcb10941be3b158565149d8755a95f,8,contract_16,"[2,2,2,2]","[2,2]","[2,2,2,2]",1,8,2,2,0.007874015748031496,0.007605715060797263,1.0,0.9659258127212524,16,4,0,127,0,0,0,127,-34,34,28,4,0,0,4,2,64516,true,0.00022473931312561035,0.00022473932767752558,0.00011622905731201172,0.00022473931312561035,0.00022473932767752558,0.00011622905731201172,0.05300827334845168,0.00044946313843019503,true,56,160,2.857142857142857,16,20,40,2,2,0,16,4,128
stress4_l2,0893aab5797f8fe01bfda4345fc0b71efbbcb10941be3b158565149d8755a95f,9,contract_2,[2],"[2,2]",[2],1,1,2,2,0.007874015748031496,0.0055677698353144124,1.0,0.7071067690849304,2,4,0,127,0,0,-127,127,0,0,3,4,0,0,1,4,64516,true,0.0,0.0,0.0,0.0,0.0,0.0,0.01900955528390228,0.0,true,28,48,1.7142857142857142,16,6,12,2,2,0,2,4,16
stress4_l2,0893aab5797f8fe01bfda4345fc0b71efbbcb10941be3b158565149d8755a95f,10,contract_3,[2],"[2,2]",[2],1,1,2,2,0.007874015748031496,0.0055677698353144124,1.0,0.7071067690849304,2,4,0,127,0,0,-127,127,0,0,3,4,0,0,1,4,64516,true,0.0,0.0,0.0,0.0,0.0,0.0,0.01900955528390228,0.0,true,28,48,1.7142857142857142,16,6,12,2,2,0,2,4,16
stress4_l2,0893aab5797f8fe01bfda4345fc0b71efbbcb10941be3b158565149d8755a95f,11,contract_4,"[2,2]","[2,2,2,2]","[2,2,2,2]",1,2,8,2,0.0076765976552888165,0.007874015748031496,0.9749279022216797,1.0,4,16,0,127,-29,29,0,127,0,0,4,28,0,0,2,4,64516,true,0.00010040402412414551,0.00010040403140010312,4.470348358154297e-05,0.00010040402412414551,0.00010040403140010312,4.470348358154297e-05,0.05320946351420924,0.00020079889635399306,true,56,160,2.857142857142857,16,20,40,2,2,0,16,4,128
stress4_l2,0893aab5797f8fe01bfda4345fc0b71efbbcb10941be3b158565149d8755a95f,12,contract_6,"[2,2]","[2,2,2,2]","[2,2,2,2]",1,2,8,2,0.0068190975452032615,0.007874015748031496,0.8660253882408142,1.0,4,16,0,127,-73,73,0,127,0,0,4,28,0,0,2,4,64516,true,0.002205878496170044,0.002205878496170044,0.002202272415161133,0.002205878496170044,0.002205878496170044,0.002202272415161133,0.05074870231040762,0.0044117584003238175,true,56,160,2.857142857142857,16,20,40,2,2,0,16,4,128
stress4_l2,0893aab5797f8fe01bfda4345fc0b71efbbcb10941be3b158565149d8755a95f,13,contract_8,"[2,2]","[2,2,2,2]","[2,2,2,2]",1,2,8,2,0.007274641765384223,0.007874015748031496,0.9238795042037964,1.0,4,16,0,127,-53,53,0,127,0,0,4,28,0,0,2,4,64516,true,0.0028725862503051758,0.0028725864831358194,0.0022057294845581055,0.0028725862503051758,0.0028725864831358194,0.0022057294845581055,0.052106590340191175,0.00574517484724979,true,56,160,2.857142857142857,16,20,40,2,2,0,16,4,128
stress4_l2,0893aab5797f8fe01bfda4345fc0b71efbbcb10941be3b158565149d8755a95f,14,contract_17,"[2,2]",[2],[2],1,2,1,2,0.007488634173325666,0.0055677698353144124,0.9510565400123596,0.7071067690849304,4,2,0,127,-41,41,127,127,0,0,4,2,0,0,2,2,64516,true,0.0014021992683410645,0.0019830092787742615,0.0006110072135925293,0.0014021992683410645,0.0019830092787742615,0.0006110072135925293,0.018459732604474716,0.0019830014422601064,true,28,48,1.7142857142857142,16,6,12,2,2,1,2,4,16
stress4_l2,0893aab5797f8fe01bfda4345fc0b71efbbcb10941be3b158565149d8755a95f,15,contract_19,"[2,2]","[2,2,2,2]","[2,2,2,2]",1,2,8,2,0.005428174349266713,0.0068190975452032615,0.6893781423568726,0.8660253882408142,4,16,-127,127,-29,29,0,127,-73,73,0,24,0,0,4,4,64516,true,0.0014921373222023249,0.002110200934112072,0.00215756893157959,0.0014921373222023249,0.002110200934112072,0.00215756893157959,0.04263019523614716,0.004220366271462236,true,56,160,2.857142857142857,16,20,40,2,2,2,16,4,128
stress4_l2,0893aab5797f8fe01bfda4345fc0b71efbbcb10941be3b158565149d8755a95f,16,contract_20,"[2,2]","[2,2,2,2]","[2,2,2,2]",1,2,8,2,0.004821829908476101,0.007274641765384223,0.6123723983764648,0.9238795042037964,4,16,-127,127,-73,73,0,127,-53,53,0,24,0,0,4,4,64516,true,0.003226866479963064,0.003268844448029995,9.5367431640625e-07,0.003226866479963064,0.003268844448029995,9.5367431640625e-07,0.04270471872782161,0.006537685967540517,true,56,160,2.857142857142857,16,20,40,2,2,2,16,4,128
